Key,Course,Type,Name,Number,Slides,Worksheet,Worksheet Path,Slide Path,Link,Readings,Reading Path,Other Material
66,COMP6721,Lecture,Introduction to Neural Networks,6,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6721/Lectures/Slides/06_ann.pdf,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6721/Lectures/Worksheets/06_ann_ex.pdf,Text Files/COMP6721/Lectures/Worksheets/06_ann_ex.txt,Text Files/COMP6721/Lectures/Slides/06_ann.txt,75,"http://en.wikipedia.org/wiki/Backpropagation, http://en.wikipedia.org/wiki/Perceptron, http://medium.com/@thomascountz/19-line-line-by-line-python-perceptron-b6f113b161f3",Text Files/COMP6721/Lectures/Readings/reading06.txt,http://www.youtube.com/watch?v=gakJlr3GecE
67,COMP6721,Lecture,Deep Learning,7,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6721/Lectures/Slides/07_dl.pdf,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6721/Lectures/Worksheets/07_dl_ex.pdf,Text Files/COMP6721/Lectures/Worksheets/07_dl_ex.txt,Text Files/COMP6721/Lectures/Slides/07_dl.txt,76,"http://www.jeremyjordan.me/autoencoders/, http://www.analyticsvidhya.com/blog/2017/06/architecture-of-convolutional-neural-networks-simplified-demystified/",,
68,COMP6721,Lecture,Knowledge Graphs 1,8,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6721/Lectures/Slides/08_graphs.pdf,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6721/Lectures/Worksheets/08_graph_ex.pdf,Text Files/COMP6721/Lectures/Worksheets/08_graph_ex.txt,Text Files/COMP6721/Lectures/Slides/08_graphs.txt,77,,,
69,COMP6721,Lecture,Knowledge Graphs 2,9,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6721/Lectures/Slides/09_graphs2.pdf,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6721/Lectures/Worksheets/09_rdfs_ex.pdf,Text Files/COMP6721/Lectures/Worksheets/09_rdfs_ex.txt,Text Files/COMP6721/Lectures/Slides/09_graphs2.txt,78,,,http://www.youtube.com/watch?v=D-bTGefJj0A
70,COMP6721,Lab,Introduction,1,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6721/Labs/lab01-q.pdf,,,Text Files/COMP6721/Labs/lab01-q.txt,,,,
71,COMP6721,Lab,State Space Search,2,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6721/Labs/lab02-q.pdf,,,Text Files/COMP6721/Labs/lab02-q.txt,,,,
72,COMP6721,Lab,Adversarial Search,3,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6721/Labs/lab03-q.pdf,,,Text Files/COMP6721/Labs/lab03-q.txt,,,,
73,COMP6721,Lab,Naive Bayes Classification,4,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6721/Labs/lab04-q.pdf,,,Text Files/COMP6721/Labs/lab04-q.txt,,,,
74,COMP6721,Lab,Decision Trees,5,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6721/Labs/lab05-q.pdf,,,Text Files/COMP6721/Labs/lab05-q.txt,,,,
75,COMP6721,Lab,Introduction to Neural Networks,6,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6721/Labs/lab06-q.pdf,,,Text Files/COMP6721/Labs/lab06-q.txt,,,,
76,COMP6721,Lab,Deep Learning,7,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6721/Labs/lab07-q.pdf,,,Text Files/COMP6721/Labs/lab07-q.txt,,,,
77,COMP6721,Lab,Knowledge Graphs 1,8,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6721/Labs/lab08-q.pdf,,,Text Files/COMP6721/Labs/lab08-q.txt,,,,
78,COMP6721,Lab,Knowledge Graphs 2,9,file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6721/Labs/lab09-q.pdf,,,Text Files/COMP6721/Labs/lab09-q.txt,,,,
