 "name" , "slides" ,
 "Intelligent Agents" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides08.pdf" ,
 "Introduction" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides01.pdf" ,
 "Knowledge Base Queries & SPARQL" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides04.pdf" ,
 "Machine Learning for Intelligent Systems" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides07.pdf" ,
 "Knowledge Base Design & Applications" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides05.pdf" ,
 "Knowledge Graphs" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides02.pdf" ,
 "Text Mining" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides09.pdf" ,
 "Recommender Systems" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides06.pdf" ,
 "Vocabularies and Ontologies" , "file:///C:/Users/Hartaj/Desktop/Study%20Bot/Dataset/COMP6741/Lectures/Slides/slides03.pdf" ,
