 "name" , "link" , "event" , "resource" ,
 "ai" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lab 9" , "Slides" ,
 "ai" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lecture 1" , "Slides" ,
 "ai" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lecture 2" , "Slides" ,
 "ai" , "http://dbpedia.org/resource/Artificial_intelligence" , "Lecture 7" , "Slides" ,
 "library" , "http://dbpedia.org/resource/Library" , "Lecture 3" , "Slides" ,
 "library" , "http://dbpedia.org/resource/Library" , "Lab 1" , "Slides" ,
 "library" , "http://dbpedia.org/resource/Library" , "Lab 9" , "Slides" ,
 "library" , "http://dbpedia.org/resource/Library" , "Lecture 9" , "Worksheet" ,
 "library" , "http://dbpedia.org/resource/Library" , "Lab 7" , "Slides" ,
 "power7" , "http://dbpedia.org/resource/POWER7" , "Lecture 1" , "Slides" ,
